,player,span,Mat,Inns,Balls,Mdns,Runs,Wickets,Avg,SR,ecnomy,BBI,5,10,ST,CT,Country
158,CR Woakes,2015-2015,5,5,226,1,234,5,46.80,45.2,6.21,2/8,-,-,-,1,England
159,Yasir Shah,2015-2015,1,1,48,-,60,-,-,-,7.50,-,-,-,-,-,Pakistan
160,Younis Khan,2015-2015,3,-,0,-,-,-,-,-,-,-,-,-,-,1,Pakistan
161,HM Amla,2015-2015,8,-,0,-,-,-,-,-,-,-,-,-,-,6,South Africa
162,CJ Anderson,2015-2015,9,9,217,1,234,14,16.71,15.5,6.47,3/18,-,-,-,3,New Zealand
163,R Ashwin,2015-2015,8,8,462,6,330,13,25.38,35.5,4.28,4/25,-,-,-,3,India
164,TA Boult,2015-2015,9,9,510,14,371,22,16.86,23.1,4.36,5/27,1,-,-,1,New Zealand
165,MJ Clarke,2015-2015,7,1,30,-,14,1,14.00,30.0,2.80,1/14,-,-,-,5,Australia
166,Q de Kock,2015-2015,8,-,0,-,-,-,-,-,-,-,-,-,1,9,South Africa
167,AB de Villiers,2015-2015,8,4,84,-,86,4,21.50,21.0,6.14,2/15,-,-,-,6,South Africa
168,S Dhawan,2015-2015,8,-,0,-,-,-,-,-,-,-,-,-,-,7,India
169,MS Dhoni,2015-2015,8,-,0,-,-,-,-,-,-,-,-,-,-,15,India
170,JP Duminy,2015-2015,6,6,210,2,202,6,33.66,35.0,5.77,3/29,-,-,-,3,South Africa
171,F du Plessis,2015-2015,7,2,42,-,47,-,-,-,6.71,-,-,-,-,6,South Africa
172,GD Elliott,2015-2015,9,5,48,-,68,2,34.00,24.0,8.50,2/27,-,-,-,3,New Zealand
173,JP Faulkner,2015-2015,6,6,251,2,197,10,19.70,25.1,4.70,3/36,-,-,-,2,Australia
174,AJ Finch,2015-2015,8,-,0,-,-,-,-,-,-,-,-,-,-,6,Australia
175,MJ Guptill,2015-2015,9,-,0,-,-,-,-,-,-,-,-,-,-,4,New Zealand
176,BJ Haddin,2015-2015,8,-,0,-,-,-,-,-,-,-,-,-,-,16,Australia
177,JR Hazlewood,2015-2015,5,5,257,5,176,7,25.14,36.7,4.10,4/35,-,-,-,-,Australia
178,MJ Henry,2015-2015,2,2,103,2,86,2,43.00,51.5,5.00,2/46,-,-,-,-,New Zealand
179,Imran Tahir,2015-2015,8,8,458,5,323,15,21.53,30.5,4.23,5/45,1,-,-,2,South Africa
180,RA Jadeja,2015-2015,8,8,400,-,357,9,39.66,44.4,5.35,2/23,-,-,-,1,India
181,MG Johnson,2015-2015,8,8,381,2,326,15,21.73,25.4,5.13,4/22,-,-,-,4,Australia
182,V Kohli,2015-2015,8,1,6,-,7,-,-,-,7.00,-,-,-,-,5,India
183,BB McCullum,2015-2015,9,-,0,-,-,-,-,-,-,-,-,-,-,2,New Zealand
184,GJ Maxwell,2015-2015,8,8,228,1,218,6,36.33,38.0,5.73,2/43,-,-,-,1,Australia
185,DA Miller,2015-2015,8,-,0,-,-,-,-,-,-,-,-,-,-,3,South Africa
186,Mohammed Shami,2015-2015,7,7,366,7,294,17,17.29,21.5,4.81,4/35,-,-,-,5,India
187,M Morkel,2015-2015,8,8,409,4,299,17,17.58,24.0,4.38,3/34,-,-,-,2,South Africa
188,VD Philander,2015-2015,4,4,171,2,135,4,33.75,42.7,4.73,2/30,-,-,-,1,South Africa
189,AM Rahane,2015-2015,8,-,0,-,-,-,-,-,-,-,-,-,-,5,India
190,SK Raina,2015-2015,8,4,90,1,64,1,64.00,90.0,4.26,1/40,-,-,-,6,India
191,L Ronchi,2015-2015,9,-,0,-,-,-,-,-,-,-,-,-,1,12,New Zealand
192,RR Rossouw,2015-2015,6,1,12,-,13,-,-,-,6.50,-,-,-,-,9,South Africa
193,MM Sharma,2015-2015,8,8,378,4,314,13,24.15,29.0,4.98,3/48,-,-,-,2,India
194,RG Sharma,2015-2015,8,1,18,-,21,-,-,-,7.00,-,-,-,-,3,India
195,SPD Smith,2015-2015,8,1,12,-,19,-,-,-,9.50,-,-,-,-,4,Australia
196,TG Southee,2015-2015,9,9,486,7,472,15,31.46,32.4,5.82,7/33,1,-,-,2,New Zealand
197,MA Starc,2015-2015,8,8,383,3,224,22,10.18,17.4,3.50,6/28,1,-,-,5,Australia
198,DW Steyn,2015-2015,8,8,413,7,346,11,31.45,37.5,5.02,3/30,-,-,-,3,South Africa
199,LRPL Taylor,2015-2015,9,-,0,-,-,-,-,-,-,-,-,-,-,5,New Zealand
200,DL Vettori,2015-2015,9,9,455,5,307,15,20.46,30.3,4.04,4/18,-,-,-,6,New Zealand
201,DA Warner,2015-2015,8,-,0,-,-,-,-,-,-,-,-,-,-,5,Australia
202,SR Watson,2015-2015,7,6,156,-,171,2,85.50,78.0,6.57,1/18,-,-,-,1,Australia
203,KS Williamson,2015-2015,9,2,12,-,12,-,-,-,6.00,-,-,-,-,3,New Zealand
204,UT Yadav,2015-2015,8,8,386,5,321,18,17.83,21.4,4.98,4/31,-,-,-,8,India
